Type,Num,Genus,Species,Family,ComName,Location,Collector,Contributor,Date,Notes
L,1,Picea,Engelmanni,Unknown,"Unknown","","Coleman, Atla.","",01-Jan-1913,"Pieces 4215 to 4244"
L,2,Pinus,Murrayana,Unknown,"Unknown","","Coleman, Atla.","",01-Jan-1913,"Pieces 4186 to 4214"
L,3,Chamaecyparis,Nootkatensis,Unknown,"Unknown","Port Moody","B.C. Forest Branch","Thurston Flavelle Lumber Co.",01-Jan-1913,""
L,4,Picea,Sitchensis,Unknown,"Unknown","Vancouver, B.C.","B.C. Forest Branch","B.C. mills, Timber and Trading co.",01-Jan-1913,""
L,5,Pinus,Monticola,Unknown,"Unknown","Port Moody","B.C. Forest Branch","Thurston Flavelle Lumber Co.",01-Jan-1913,""
L,6,Pinus,Monticola,Unknown,"Unknown","Chemainus, Vancouver Island","B.C. Forest Branch","Victoria Lumber and Mfg. Co.",01-Jan-1913,""
L,7,Thuja,Plicata,Unknown,"Unknown","","","Thurston Flavelle Lumber Co.",NaT,""
L,8,Thuja,Plicata,Unknown,"Unknown","","","Victoria Lumber and Mfg. Co.",NaT,""
L,9,Abies,Sp.,Unknown,"Unknown","Vancouver, B.C.","B.C. mills, timber & trading co.","Hastings Mill",NaT,""
L,10,Larix,Occidentalis,Unknown,"Unknown","Cranbrook, B.C.","J.D. Gilmour","",01-Jan-1913,""
L,11,Tsuga,Heterophylla,Unknown,"Unknown","Chemainus, Vancouver Island","B.C. Forest Branch","Victoria Lumber and Mfg. Co.",01-Jan-1913,""
L,12,Pseudotsuga,Taxifolia,Unknown,"Unknown","Chemainus, Vancouver Island","B.C. Forest Branch","Victoria Lumber and Mfg. Co.",01-Jan-1913,""
L,13,Picea,Engelmanni,Unknown,"Unknown","","Coleman, Atla.","",01-Jan-1913,""
L,14,Magnolia,Acuminate,Unknown,"Unknown","","","",NaT,"W. 160 sawed up"
L,15,Chamaecyparis,Lawsoniana,Unknown,"Unknown","Oregon","","C.A. Smith Co.",01-Jan-1914,""
L,16,Pinus,Monticola,Unknown,"Unknown","Chemainus, Vancouver Island","B.C. Forest Branch","Victoria Lumber and Mfg. Co.",01-Jan-1913,""
L,17,Pinus,Ponderosa,Unknown,"Unknown","Kamloops, B.C.","B.C. District Forester, Murray","",01-Jan-1915,""
L,18,Larix,Occidentalis,Unknown,"Unknown","Kamloops, B.C.","B.C. District Forester, Murray","",01-Jan-1915,""
L,19,Sequoia,Sempervirens,Unknown,"Unknown","","","",NaT,"Taken off a crate containing a shipment from California"
L,20,Thuja,Occidentalis,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,21,Taxodium,Distichum,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,22,Tsuga,Canadensis,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,23,Picea,Canadensis,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,24,Pinus,Banksiana,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,25,Larix,Laricina,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,26,Pinus,Strobus,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,27,Pinus,Resinosa,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,28,Populus,Unknown,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,29,Liriodendron,Tulipifera,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,30,Tilia,Unknown,Unknown,"Unknown","","Mr. Petry","",NaT,"Probably from U.S."
L,31,Ulmus,Unknown,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,32,Castanea,Dentate,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,33,Juglans,Nigra,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,34,Prunus,Serotina,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,35,Betula,Unknown,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,36,Fraxinus,Nigra,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,37,Carya,Unknown,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,38,Quercus,Alba,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,39,Quercus,Rubra,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,40,Nyssa,Unknown,Unknown,"Unknown","","Mr. Petry","",NaT,"probably not N. sylvatica"
L,41,Liquidambar,Straciflua,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,42,Fagus,Grandifolia,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,43,Juglans,Cinerea,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,44,Juniperus,Virginiana,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,45,Fraxinus,Americana,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,46,Acer,Unknown,Unknown,"Unknown","","Mr. Petry","",NaT,""
L,47,Pinus,Ponderosa,Unknown,"Unknown","Merritt, B.C.","A.E. Parlow","Nicola Pine Mills",01-Jan-1922,""
